DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend,IsHoliday,HolidayName,SpecialDays,FinancialYear,FinancialQuater,FinancialMonth,FirstDateofYear,LastDateofYear,FirstDateofQuater,LastDateofQuater,FirstDateofMonth,LastDateofMonth,FirstDateofWeek,LastDateofWeek,CurrentYear,CurrentQuater,CurrentMonth,CurrentWeek,CurrentDay
20130116,2013-01-16,16,th,4,Wednesday,WED,W,16,16,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3403
20130117,2013-01-17,17,th,5,Thursday,THU,T,17,17,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3402
20130118,2013-01-18,18,th,6,Friday,FRI,F,18,18,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3401
20130119,2013-01-19,19,th,7,Saturday,SAT,S,19,19,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3400
20130120,2013-01-20,20,th,1,Sunday,SUN,S,20,20,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3399
20130121,2013-01-21,21,st,2,Monday,MON,M,21,21,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3398
20130122,2013-01-22,22,nd,3,Tuesday,TUE,T,22,22,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3397
20130123,2013-01-23,23,rd,4,Wednesday,WED,W,23,23,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3396
20130124,2013-01-24,24,th,5,Thursday,THU,T,24,24,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3395
20130125,2013-01-25,25,th,6,Friday,FRI,F,25,25,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3394
20130126,2013-01-26,26,th,7,Saturday,SAT,S,26,26,4,4,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-20,2013-01-26,-9,-37,-112,-485,-3393
20130127,2013-01-27,27,th,1,Sunday,SUN,S,27,27,5,5,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-27,2013-02-02,-9,-37,-112,-484,-3392
20130128,2013-01-28,28,th,2,Monday,MON,M,28,28,5,5,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-27,2013-02-02,-9,-37,-112,-484,-3391
20130129,2013-01-29,29,th,3,Tuesday,TUE,T,29,29,5,5,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-27,2013-02-02,-9,-37,-112,-484,-3390
20130130,2013-01-30,30,th,4,Wednesday,WED,W,30,30,5,5,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-27,2013-02-02,-9,-37,-112,-484,-3389
20130131,2013-01-31,31,st,5,Thursday,THU,T,31,31,5,5,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-27,2013-02-02,-9,-37,-112,-484,-3388
20130201,2013-02-01,1,st,6,Friday,FRI,F,1,32,1,5,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-01-27,2013-02-02,-9,-37,-111,-484,-3387
20130202,2013-02-02,2,nd,7,Saturday,SAT,S,2,33,1,5,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-01-27,2013-02-02,-9,-37,-111,-484,-3386
20130203,2013-02-03,3,rd,1,Sunday,SUN,S,3,34,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3385
20130204,2013-02-04,4,th,2,Monday,MON,M,4,35,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3384
20130205,2013-02-05,5,th,3,Tuesday,TUE,T,5,36,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3383
20130206,2013-02-06,6,th,4,Wednesday,WED,W,6,37,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3382
20130207,2013-02-07,7,th,5,Thursday,THU,T,7,38,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3381
20130208,2013-02-08,8,th,6,Friday,FRI,F,8,39,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3380
20130209,2013-02-09,9,th,7,Saturday,SAT,S,9,40,2,6,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-03,2013-02-09,-9,-37,-111,-483,-3379
20130210,2013-02-10,10,th,1,Sunday,SUN,S,10,41,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3378
20130211,2013-02-11,11,th,2,Monday,MON,M,11,42,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3377
20130212,2013-02-12,12,th,3,Tuesday,TUE,T,12,43,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3376
20130213,2013-02-13,13,th,4,Wednesday,WED,W,13,44,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3375
20130214,2013-02-14,14,th,5,Thursday,THU,T,14,45,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,Valentines Day,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3374
20130215,2013-02-15,15,th,6,Friday,FRI,F,15,46,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3373
20130216,2013-02-16,16,th,7,Saturday,SAT,S,16,47,3,7,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-10,2013-02-16,-9,-37,-111,-482,-3372
20130217,2013-02-17,17,th,1,Sunday,SUN,S,17,48,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3371
20130218,2013-02-18,18,th,2,Monday,MON,M,18,49,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3370
20130219,2013-02-19,19,th,3,Tuesday,TUE,T,19,50,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3369
20130220,2013-02-20,20,th,4,Wednesday,WED,W,20,51,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3368
20130221,2013-02-21,21,st,5,Thursday,THU,T,21,52,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3367
20130222,2013-02-22,22,nd,6,Friday,FRI,F,22,53,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3366
20130223,2013-02-23,23,rd,7,Saturday,SAT,S,23,54,4,8,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-17,2013-02-23,-9,-37,-111,-481,-3365
20130224,2013-02-24,24,th,1,Sunday,SUN,S,24,55,5,9,2,February,FEB,F,1,First,2013,022013,2013FEB,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-24,2013-03-02,-9,-37,-111,-480,-3364
20130225,2013-02-25,25,th,2,Monday,MON,M,25,56,5,9,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-24,2013-03-02,-9,-37,-111,-480,-3363
20130226,2013-02-26,26,th,3,Tuesday,TUE,T,26,57,5,9,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-24,2013-03-02,-9,-37,-111,-480,-3362
20130227,2013-02-27,27,th,4,Wednesday,WED,W,27,58,5,9,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-24,2013-03-02,-9,-37,-111,-480,-3361
20130228,2013-02-28,28,th,5,Thursday,THU,T,28,59,5,9,2,February,FEB,F,1,First,2013,022013,2013FEB,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-02-01,2013-02-28,2013-02-24,2013-03-02,-9,-37,-111,-480,-3360
20130301,2013-03-01,1,st,6,Friday,FRI,F,1,60,1,9,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-02-24,2013-03-02,-9,-37,-110,-480,-3359
20130302,2013-03-02,2,nd,7,Saturday,SAT,S,2,61,1,9,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-02-24,2013-03-02,-9,-37,-110,-480,-3358
20130303,2013-03-03,3,rd,1,Sunday,SUN,S,3,62,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3357
20130304,2013-03-04,4,th,2,Monday,MON,M,4,63,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3356
20130305,2013-03-05,5,th,3,Tuesday,TUE,T,5,64,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3355
20130306,2013-03-06,6,th,4,Wednesday,WED,W,6,65,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3354
20130307,2013-03-07,7,th,5,Thursday,THU,T,7,66,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3353
20130308,2013-03-08,8,th,6,Friday,FRI,F,8,67,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3352
20130309,2013-03-09,9,th,7,Saturday,SAT,S,9,68,2,10,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-03,2013-03-09,-9,-37,-110,-479,-3351
20130310,2013-03-10,10,th,1,Sunday,SUN,S,10,69,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3350
20130311,2013-03-11,11,th,2,Monday,MON,M,11,70,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3349
20130312,2013-03-12,12,th,3,Tuesday,TUE,T,12,71,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3348
20130313,2013-03-13,13,th,4,Wednesday,WED,W,13,72,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3347
20130314,2013-03-14,14,th,5,Thursday,THU,T,14,73,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3346
20130315,2013-03-15,15,th,6,Friday,FRI,F,15,74,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3345
20130316,2013-03-16,16,th,7,Saturday,SAT,S,16,75,3,11,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-10,2013-03-16,-9,-37,-110,-478,-3344
20130317,2013-03-17,17,th,1,Sunday,SUN,S,17,76,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3343
20130318,2013-03-18,18,th,2,Monday,MON,M,18,77,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3342
20130319,2013-03-19,19,th,3,Tuesday,TUE,T,19,78,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3341
20130320,2013-03-20,20,th,4,Wednesday,WED,W,20,79,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3340
20130321,2013-03-21,21,st,5,Thursday,THU,T,21,80,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3339
20130322,2013-03-22,22,nd,6,Friday,FRI,F,22,81,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3338
20130323,2013-03-23,23,rd,7,Saturday,SAT,S,23,82,4,12,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-17,2013-03-23,-9,-37,-110,-477,-3337
20130324,2013-03-24,24,th,1,Sunday,SUN,S,24,83,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3336
20130325,2013-03-25,25,th,2,Monday,MON,M,25,84,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3335
20130326,2013-03-26,26,th,3,Tuesday,TUE,T,26,85,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3334
20130327,2013-03-27,27,th,4,Wednesday,WED,W,27,86,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3333
20130328,2013-03-28,28,th,5,Thursday,THU,T,28,87,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3332
20130329,2013-03-29,29,th,6,Friday,FRI,F,29,88,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3331
20130330,2013-03-30,30,th,7,Saturday,SAT,S,30,89,5,13,3,March,MAR,M,1,First,2013,032013,2013MAR,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-03-01,2013-03-31,2013-03-24,2013-03-30,-9,-37,-110,-476,-3330
