InvoiceID,CustomerID,BillToCustomerID,OrderID,DeliveryMethodID,ContactPersonID,AccountsPersonID,SalespersonPersonID,PackedByPersonID,InvoiceDate,CustomerPurchaseOrderNumber,IsCreditNote,CreditNoteReason,Comments,DeliveryInstructions,InternalComments,TotalDryItems,TotalChillerItems,DeliveryRun,RunPosition,ReturnedDeliveryData,ConfirmedDeliveryTime,ConfirmedReceivedBy,LastEditedBy,LastEditedWhen
11,586,401,11,3,2371,2001,3,14,2013-01-01,17639,false,null,null,"Shop 204, 167 Kubatova Lane",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1061""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:55:00"",""ConNote"":""EAN-125-1061"",""DriverID"":15,""Latitude"":29.1924772,""Longitude"":-81.9173071,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:55:00"",""ReceivedBy"":""Anete Kundzina""}",2013-01-02T07:55:00.000+0000,Anete Kundzina,15,2013-01-02T07:00:00.000+0000
12,529,401,12,3,2257,2001,15,14,2013-01-01,10941,false,null,null,"Suite 270, 1281 Kalejs Crescent",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1062""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:00:00"",""ConNote"":""EAN-125-1062"",""DriverID"":15,""Latitude"":32.8706936,""Longitude"":-83.4887852,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:00:00"",""ReceivedBy"":""Seo-yeon Rim""}",2013-01-02T08:00:00.000+0000,Seo-yeon Rim,15,2013-01-02T07:00:00.000+0000
13,473,401,13,3,2145,2001,13,14,2013-01-01,16374,false,null,null,"Suite 203, 229 Cao Lane",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1063""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:05:00"",""ConNote"":""EAN-125-1063"",""DriverID"":15,""Latitude"":39.3946303,""Longitude"":-120.0213080,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:05:00"",""ReceivedBy"":""Doru Munteanu""}",2013-01-02T08:05:00.000+0000,Doru Munteanu,15,2013-01-02T07:00:00.000+0000
14,870,870,14,3,3070,3070,8,14,2013-01-01,17521,false,null,null,"Shop 10, 353 Gomes Avenue",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1064""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:10:00"",""ConNote"":""EAN-125-1064"",""DriverID"":15,""Latitude"":47.8528740,""Longitude"":-122.3334669,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:10:00"",""ReceivedBy"":""In-Su Bae""}",2013-01-02T08:10:00.000+0000,In-Su Bae,15,2013-01-02T07:00:00.000+0000
15,991,991,15,3,3191,3191,3,14,2013-01-01,11911,false,null,null,"Suite 10, 129 Jo Road",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1065""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:15:00"",""ConNote"":""EAN-125-1065"",""DriverID"":15,""Latitude"":41.4353301,""Longitude"":-81.6573501,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:15:00"",""ReceivedBy"":""Valter Viiding""}",2013-01-02T08:15:00.000+0000,Valter Viiding,15,2013-01-02T07:00:00.000+0000
16,414,401,16,3,2027,2001,2,14,2013-01-01,10690,false,null,null,"Unit 212, 1837 Vasiljevic Boulevard",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1066""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:20:00"",""ConNote"":""EAN-125-1066"",""DriverID"":15,""Latitude"":39.9342780,""Longitude"":-75.3901933,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:20:00"",""ReceivedBy"":""Lan Chu""}",2013-01-02T08:20:00.000+0000,Lan Chu,15,2013-01-02T07:00:00.000+0000
17,910,910,17,3,3110,3110,8,14,2013-01-01,10255,false,null,null,"Unit 18, 469 Valbe Road",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1067""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:25:00"",""ConNote"":""EAN-125-1067"",""DriverID"":15,""Latitude"":29.3791112,""Longitude"":-90.2600787,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:25:00"",""ReceivedBy"":""Elina Kaleja""}",2013-01-02T08:25:00.000+0000,Elina Kaleja,15,2013-01-02T07:00:00.000+0000
18,949,949,19,3,3149,3149,7,14,2013-01-01,16825,false,null,null,"Suite 7, 493 Bjorklund Road",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1068""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:30:00"",""ConNote"":""EAN-125-1068"",""DriverID"":15,""Latitude"":28.9685817,""Longitude"":-95.4552208,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:30:00"",""ReceivedBy"":""Seo-yun Paik""}",2013-01-02T08:30:00.000+0000,Seo-yun Paik,15,2013-01-02T07:00:00.000+0000
19,973,973,20,3,3173,3173,14,14,2013-01-01,12227,false,null,null,"Suite 25, 1742 Valbe Avenue",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1069""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:35:00"",""ConNote"":""EAN-125-1069"",""DriverID"":15,""Latitude"":39.3034346,""Longitude"":-77.9827756,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2013-01-02T08:35:00"",""ReceivedBy"":""Kumar Kamei""}",2013-01-02T08:35:00.000+0000,Kumar Kamei,15,2013-01-02T07:00:00.000+0000
20,884,884,22,3,3084,3084,13,14,2013-01-01,16793,false,null,null,"Unit 17, 1957 Nantakarn Avenue",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1070""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:40:00"",""ConNote"":""EAN-125-1070"",""DriverID"":15,""Latitude"":39.0350000,""Longitude"":-87.0530000,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:40:00"",""ReceivedBy"":""Anindya Ghatak""}",2013-01-02T08:40:00.000+0000,Anindya Ghatak,15,2013-01-02T07:00:00.000+0000
21,173,1,23,3,1345,1001,7,14,2013-01-01,12467,false,null,null,"Unit 235, 822 Shasthri Road",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1071""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:45:00"",""ConNote"":""EAN-125-1071"",""DriverID"":15,""Latitude"":41.5964825,""Longitude"":-73.9109700,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:45:00"",""ReceivedBy"":""Raju Atluri""}",2013-01-02T08:45:00.000+0000,Raju Atluri,15,2013-01-02T07:00:00.000+0000
22,890,890,24,3,3090,3090,16,14,2013-01-01,13700,false,null,null,"Suite 4, 1129 Hulsegge Boulevard",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1072""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:50:00"",""ConNote"":""EAN-125-1072"",""DriverID"":15,""Latitude"":27.2164329,""Longitude"":-98.0644475,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:50:00"",""ReceivedBy"":""Olya Izmaylov""}",2013-01-02T08:50:00.000+0000,Olya Izmaylov,15,2013-01-02T07:00:00.000+0000
23,189,1,25,3,1377,1001,15,14,2013-01-01,11503,false,null,null,"Suite 49, 1847 Alladi Street",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1073""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T08:55:00"",""ConNote"":""EAN-125-1073"",""DriverID"":15,""Latitude"":41.2459149,""Longitude"":-75.8813075,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T08:55:00"",""ReceivedBy"":""Sara Charlton""}",2013-01-02T08:55:00.000+0000,Sara Charlton,15,2013-01-02T07:00:00.000+0000
24,873,873,26,3,3073,3073,15,14,2013-01-01,13916,false,null,null,"Suite 10, 1826 Semjonov Boulevard",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1074""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:00:00"",""ConNote"":""EAN-125-1074"",""DriverID"":15,""Latitude"":35.1725399,""Longitude"":-107.3689356,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:00:00"",""ReceivedBy"":""Hana Hlouskova""}",2013-01-02T09:00:00.000+0000,Hana Hlouskova,15,2013-01-02T07:00:00.000+0000
25,497,401,27,3,2193,2001,6,14,2013-01-01,17783,false,null,null,"Shop 144, 1774 ChÃ¡vez Road",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1075""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:05:00"",""ConNote"":""EAN-125-1075"",""DriverID"":15,""Latitude"":34.1092876,""Longitude"":-82.2492911,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:05:00"",""ReceivedBy"":""Vitezslav Holy""}",2013-01-02T09:05:00.000+0000,Vitezslav Holy,15,2013-01-02T07:00:00.000+0000
26,484,401,28,3,2167,2001,20,14,2013-01-01,13042,false,null,null,"Suite 250, 261 Celmina Street",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1076""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:10:00"",""ConNote"":""EAN-125-1076"",""DriverID"":15,""Latitude"":34.7787300,""Longitude"":-82.3101190,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2013-01-02T09:10:00"",""ReceivedBy"":""Am Lo""}",2013-01-02T09:10:00.000+0000,Am Lo,15,2013-01-02T07:00:00.000+0000
27,89,1,29,3,1177,1001,8,14,2013-01-01,10411,false,null,null,"Shop 7, 249 Arvidsson Avenue",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1077""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:15:00"",""ConNote"":""EAN-125-1077"",""DriverID"":15,""Latitude"":40.8759325,""Longitude"":-74.5423796,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:15:00"",""ReceivedBy"":""Aakarsha Nookala""}",2013-01-02T09:15:00.000+0000,Aakarsha Nookala,15,2013-01-02T07:00:00.000+0000
28,148,1,30,3,1295,1001,6,14,2013-01-01,15084,false,null,null,"Unit 170, 1951 Rozitis Lane",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1078""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:20:00"",""ConNote"":""EAN-125-1078"",""DriverID"":15,""Latitude"":43.4710944,""Longitude"":-89.7442907,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:20:00"",""ReceivedBy"":""Marcella Napolitani""}",2013-01-02T09:20:00.000+0000,Marcella Napolitani,15,2013-01-02T07:00:00.000+0000
29,972,972,32,3,3172,3172,3,14,2013-01-01,11389,false,null,null,"Suite 23, 1017 Juniskyzy Boulevard",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1079""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:25:00"",""ConNote"":""EAN-125-1079"",""DriverID"":15,""Latitude"":34.6391501,""Longitude"":-120.4579409,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2013-01-02T09:25:00"",""ReceivedBy"":""Lakshmi Benipal""}",2013-01-02T09:25:00.000+0000,Lakshmi Benipal,15,2013-01-02T07:00:00.000+0000
30,567,401,33,3,2333,2001,20,14,2013-01-01,12559,false,null,null,"Suite 42, 1876 Bhamidipati Crescent",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1080""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:30:00"",""ConNote"":""EAN-125-1080"",""DriverID"":15,""Latitude"":40.8042239,""Longitude"":-82.1957120,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:30:00"",""ReceivedBy"":""Severins Polis""}",2013-01-02T09:30:00.000+0000,Severins Polis,15,2013-01-02T07:00:00.000+0000
31,92,1,34,3,1183,1001,6,14,2013-01-01,19457,false,null,null,"Shop 104, 1889 Smirnov Road",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1081""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:35:00"",""ConNote"":""EAN-125-1081"",""DriverID"":15,""Latitude"":34.8778952,""Longitude"":-82.4240114,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:35:00"",""ReceivedBy"":""Coralie Emond""}",2013-01-02T09:35:00.000+0000,Coralie Emond,15,2013-01-02T07:00:00.000+0000
32,811,811,35,3,3011,3011,8,14,2013-01-01,18468,false,null,null,"Shop 2, 1118 Hanak Lane",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1082""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:40:00"",""ConNote"":""EAN-125-1082"",""DriverID"":15,""Latitude"":29.8682764,""Longitude"":-94.8327007,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2013-01-02T09:40:00"",""ReceivedBy"":""Surendra Sahu""}",2013-01-02T09:40:00.000+0000,Surendra Sahu,15,2013-01-02T07:00:00.000+0000
33,10,1,36,3,1019,1001,15,14,2013-01-01,14486,false,null,null,"Unit 67, 372 Joo Lane",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1083""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:45:00"",""ConNote"":""EAN-125-1083"",""DriverID"":15,""Latitude"":47.1697143,""Longitude"":-98.4598177,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:45:00"",""ReceivedBy"":""Siddhartha Parkar""}",2013-01-02T09:45:00.000+0000,Siddhartha Parkar,15,2013-01-02T07:00:00.000+0000
34,862,862,37,3,3062,3062,14,14,2013-01-01,19057,false,null,null,"Suite 27, 1818 Buecek Boulevard",null,5,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1084""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:50:00"",""ConNote"":""EAN-125-1084"",""DriverID"":15,""Latitude"":44.9264337,""Longitude"":-74.0796081,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:50:00"",""ReceivedBy"":""Lana Goransson""}",2013-01-02T09:50:00.000+0000,Lana Goransson,15,2013-01-02T07:00:00.000+0000
35,431,401,38,3,2061,2001,16,14,2013-01-01,18036,false,null,null,"Unit 193, 583 Aluri Road",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1085""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T09:55:00"",""ConNote"":""EAN-125-1085"",""DriverID"":15,""Latitude"":18.0597925,""Longitude"":-65.9092860,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T09:55:00"",""ReceivedBy"":""Selma Seppanen""}",2013-01-02T09:55:00.000+0000,Selma Seppanen,15,2013-01-02T07:00:00.000+0000
36,908,908,39,3,3108,3108,6,14,2013-01-01,13079,false,null,null,"Shop 13, 885 Das Street",null,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1086""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T10:00:00"",""ConNote"":""EAN-125-1086"",""DriverID"":15,""Latitude"":47.8856515,""Longitude"":-122.3051342,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T10:00:00"",""ReceivedBy"":""Sumati Bhat""}",2013-01-02T10:00:00.000+0000,Sumati Bhat,15,2013-01-02T07:00:00.000+0000
37,995,995,40,3,3195,3195,15,14,2013-01-01,19402,false,null,null,"Suite 11, 1012 Sidhu Street",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1087""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T10:05:00"",""ConNote"":""EAN-125-1087"",""DriverID"":15,""Latitude"":44.8738805,""Longitude"":-88.1428798,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2013-01-02T10:05:00"",""ReceivedBy"":""Kumar Naicker""}",2013-01-02T10:05:00.000+0000,Kumar Naicker,15,2013-01-02T07:00:00.000+0000
38,910,910,41,3,3110,3110,15,14,2013-01-01,15267,false,null,null,"Unit 18, 469 Valbe Road",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1088""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T10:10:00"",""ConNote"":""EAN-125-1088"",""DriverID"":15,""Latitude"":29.3791112,""Longitude"":-90.2600787,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T10:10:00"",""ReceivedBy"":""Elina Kaleja""}",2013-01-02T10:10:00.000+0000,Elina Kaleja,15,2013-01-02T07:00:00.000+0000
39,545,401,42,3,2289,2001,8,14,2013-01-01,12781,false,null,null,"Unit 90, 1984 Esposito Road",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1089""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T10:15:00"",""ConNote"":""EAN-125-1089"",""DriverID"":15,""Latitude"":41.1216623,""Longitude"":-93.7249413,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2013-01-02T10:15:00"",""ReceivedBy"":""Mina Bagheri""}",2013-01-02T10:15:00.000+0000,Mina Bagheri,15,2013-01-02T07:00:00.000+0000
40,1000,1000,43,3,3200,3200,20,14,2013-01-01,17334,false,null,null,"Unit 20, 1253 Rahimi Lane",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1090""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T10:20:00"",""ConNote"":""EAN-125-1090"",""DriverID"":15,""Latitude"":36.4970385,""Longitude"":-99.9866880,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T10:20:00"",""ReceivedBy"":""Krishnam Allu""}",2013-01-02T10:20:00.000+0000,Krishnam Allu,15,2013-01-02T07:00:00.000+0000
